# x1,	x2,	probability,	lower bound,	upper bound
0.08342916666666667,	0.125075,	0.06431370038173884,	0.014077095210569157,	0.19935071601365068
0.08342916666666667,	0.14590416666666667,	0.039331099203025965,	0.006274816813407524,	0.1536975887119853
0.08342916666666667,	0.16673333333333334,	0.02035746500185137,	0.00211556160716897,	0.10889111784945488
0.08342916666666667,	0.18756250000000002,	0.00927507578759118,	5.698666730042934E-4,	0.07278603401269501
0.08342916666666667,	0.2083916666666667,	0.003987883331939168,	1.3626652980297527E-4,	0.04784787005779173
0.08342916666666667,	0.22922083333333337,	0.0017643855673666886,	3.3132270696067945E-5,	0.032472462103875666
0.08342916666666667,	0.25005000000000005,	8.716826101429764E-4,	9.351627734410783E-6,	0.023753803814709762
0.08342916666666667,	0.2708791666666667,	5.093808073228234E-4,	3.3825020309130593E-6,	0.01924322392672334
0.08342916666666667,	0.2917083333333334,	3.608961011499767E-4,	1.6493691131214128E-6,	0.017384213052832442
0.08342916666666667,	0.3125375000000001,	3.0837720681387015E-4,	1.0897043810631502E-6,	0.017332911479808644
0.08342916666666667,	0.33336666666666676,	3.099295116230638E-4,	9.494013116784217E-7,	0.018687751206728498
0.08342916666666667,	0.35419583333333343,	3.546387336080259E-4,	1.0455282405952282E-6,	0.02130481955785085
0.08342916666666667,	0.3750250000000001,	4.4854117813614147E-4,	1.3935829545896894E-6,	0.025232022894534745
0.08342916666666667,	0.3958541666666668,	6.147983202180463E-4,	2.1699398567998074E-6,	0.03078050109141528
0.08342916666666667,	0.41668333333333346,	9.065325005550018E-4,	3.849611338258008E-6,	0.03877041201087511
0.08342916666666667,	0.43751250000000014,	0.0014417591264080931,	7.640009979825724E-6,	0.05100695268212929
0.08342916666666667,	0.4583416666666668,	0.0024844552183910795,	1.6633160484835763E-5,	0.07102303499719226
0.08342916666666667,	0.4791708333333335,	0.004612362477879162,	3.861598975990477E-5,	0.10484977350357788
0.08342916666666667,	0.5000000000000001,	0.008991272660127947,	9.20336154343615E-5,	0.16059417104034018
0.16675833333333334,	1.0E-4,	0.07721639287534082,	0.015332168802604573,	0.2461380879494206
0.16675833333333334,	0.020929166666666665,	0.1120236121878303,	0.03351776750877661,	0.27417407574117914
0.16675833333333334,	0.04175833333333333,	0.15336494510202636,	0.0594886401118121,	0.31379034223379404
0.16675833333333334,	0.06258749999999999,	0.18903063319270103,	0.08352655352794197,	0.3515224991593048
0.16675833333333334,	0.08341666666666665,	0.20526304379822058,	0.09387617624178574,	0.37119918581353023
0.16675833333333334,	0.10424583333333332,	0.1939613655414748,	0.08496533248537719,	0.3615365677301162
0.16675833333333334,	0.125075,	0.15704777347560922,	0.06086138265869456,	0.32069788867331417
0.16675833333333334,	0.14590416666666667,	0.10677217724492999,	0.033322641269819875,	0.25665322085718767
0.16675833333333334,	0.16673333333333334,	0.06004949664562487,	0.01352755429312208,	0.18459420114645309
0.16675833333333334,	0.18756250000000002,	0.028155338476750225,	0.0040875367652836725,	0.1204992464241682
0.16675833333333334,	0.2083916666666667,	0.011506054786055764,	9.77110988530927E-4,	0.07361791427222814
0.16675833333333334,	0.22922083333333337,	0.004441919565892516,	2.0789934057963144E-4,	0.044271258509522626
0.16675833333333334,	0.25005000000000005,	0.0017875810768246403,	4.568498047180514E-5,	0.027786784676132603
0.16675833333333334,	0.2708791666666667,	8.204388851696387E-4,	1.1936914890098294E-5,	0.019137811840490015
0.16675833333333334,	0.2917083333333334,	4.5588508159061236E-4,	4.1021527156237525E-6,	0.014887591158496583
0.16675833333333334,	0.3125375000000001,	3.1345055981951697E-4,	1.943982369745356E-6,	0.013137672791918131
0.16675833333333334,	0.33336666666666676,	2.6397227285474E-4,	1.2696473927209517E-6,	0.012961091526424606
0.16675833333333334,	0.35419583333333343,	2.645919873496827E-4,	1.1072400776801494E-6,	0.013965022461080279
0.16675833333333334,	0.3750250000000001,	3.0551282573876293E-4,	1.2339058986787776E-6,	0.01607367243557456
0.16675833333333334,	0.3958541666666668,	3.9600383988558363E-4,	1.684739744545194E-6,	0.01949756630200844
0.16675833333333334,	0.41668333333333346,	5.684063178640342E-4,	2.725492975641508E-6,	0.024886049704861968
0.16675833333333334,	0.43751250000000014,	9.01104750224313E-4,	5.09034837875566E-6,	0.03371806550664663
0.16675833333333334,	0.4583416666666668,	0.0015785580008161881,	1.0705196347937651E-5,	0.049026051523628156
0.16675833333333334,	0.4791708333333335,	0.0030278027122382922,	2.4571059028866138E-5,	0.07638142127499697
0.16675833333333334,	0.5000000000000001,	0.006174228418285632,	5.9148844228085196E-5,	0.12416270939857266
0.2500875,	1.0E-4,	0.08822862518137331,	0.019351286408002766,	0.2623384939059302
0.2500875,	0.020929166666666665,	0.13956916863362467,	0.047398182710857384,	0.3106912096143104
0.2500875,	0.04175833333333333,	0.20625329753671667,	0.09290158743478455,	0.3760451852911736
0.2500875,	0.06258749999999999,	0.2724278509861089,	0.14336050098190095,	0.44210640697300574
0.2500875,	0.08341666666666665,	0.3181470058959801,	0.17938501683031727,	0.4888063056391556
0.2500875,	0.10424583333333332,	0.3290465290676549,	0.1868548585082484,	0.5017756746709995
0.2500875,	0.125075,	0.30042320525637367,	0.16222967167918212,	0.4756668525068263
0.2500875,	0.14590416666666667,	0.23843238763107322,	0.11449892140401158,	0.4130274764145102
0.2500875,	0.16673333333333334,	0.16061749869362246,	0.06308555795019194,	0.3247453628250953
0.2500875,	0.18756250000000002,	0.09015519828063506,	0.026236286598033398,	0.22953970378597127
0.2500875,	0.2083916666666667,	0.04241284165775239,	0.00825039841063907,	0.14707776846206788
0.2500875,	0.22922083333333337,	0.017468512882087506,	0.002077630217407589,	0.08818014475924896
0.2500875,	0.25005000000000005,	0.006817455992597032,	4.6825687935192484E-4,	0.0521297235303409
0.2500875,	0.2708791666666667,	0.0027736684740166107,	1.0861913230642006E-4,	0.03224853367742453
0.2500875,	0.2917083333333334,	0.0012814747221024936,	2.9586966671435455E-5,	0.021924241577790826
0.2500875,	0.3125375000000001,	7.10846166640855E-4,	1.0398825429636105E-5,	0.016823781436313523
0.2500875,	0.33336666666666676,	4.830248514849922E-4,	4.932115252043179E-6,	0.014616302686580596
0.2500875,	0.35419583333333343,	3.9880151437898803E-4,	3.162379053178732E-6,	0.014189073077062964
0.2500875,	0.3750250000000001,	3.911814349477627E-4,	2.673202096514782E-6,	0.015109567620164688
0.2500875,	0.3958541666666668,	4.4531264621405775E-4,	2.8762586167796478E-6,	0.01740055091731052
0.2500875,	0.41668333333333346,	5.79030660403268E-4,	3.807476466499704E-6,	0.02157304253213399
0.2500875,	0.43751250000000014,	8.53919009364712E-4,	6.02108894165454E-6,	0.02892441705325577
0.2500875,	0.4583416666666668,	0.001422029575301298,	1.1061719783933555E-5,	0.0421817486470194
0.2500875,	0.4791708333333335,	0.002639195559253793,	2.2868935274922286E-5,	0.0664625613569218
0.2500875,	0.5000000000000001,	0.005287661515754827,	5.1165947924536326E-5,	0.10974996124132264
0.3334166666666667,	1.0E-4,	0.07660817901362788,	0.015239017538030641,	0.2442479770183522
0.3334166666666667,	0.020929166666666665,	0.1308395308268805,	0.042134869006631825,	0.3020788386134414
0.3334166666666667,	0.04175833333333333,	0.2101359466947923,	0.0939173227032139,	0.38403995361718185
0.3334166666666667,	0.06258749999999999,	0.30064717826000853,	0.1635975664592853,	0.47396718959759876
0.3334166666666667,	0.08341666666666665,	0.3790447578527863,	0.22966084563189176,	0.5493356812888441
0.3334166666666667,	0.10424583333333332,	0.4257174475846449,	0.2707581411578237,	0.5932626551713821
0.3334166666666667,	0.125075,	0.4308347358627602,	0.27459475380788534,	0.5988904819360656
0.3334166666666667,	0.14590416666666667,	0.39294308865944205,	0.23953735438055385,	0.5653228141839688
0.3334166666666667,	0.16673333333333334,	0.31861027572187217,	0.17579089944872633,	0.49535184668341065
0.3334166666666667,	0.18756250000000002,	0.22468448822987647,	0.10479025463883651,	0.39812043191179536
0.3334166666666667,	0.2083916666666667,	0.13540702079075279,	0.0492298183675936,	0.291155541574648
0.3334166666666667,	0.22922083333333337,	0.06993214064388115,	0.018178792750827566,	0.19498061524178412
0.3334166666666667,	0.25005000000000005,	0.032025568625206335,	0.005501007552770831,	0.12281837271009166
0.3334166666666667,	0.2708791666666667,	0.013859531722463514,	0.0014871395363842965,	0.0760582483615363
0.3334166666666667,	0.2917083333333334,	0.0061287236055020955,	4.019673014044045E-4,	0.04867359488480155
0.3334166666666667,	0.3125375000000001,	0.002976233087446989,	1.2134686211950907E-4,	0.03355566356513684
0.3334166666666667,	0.33336666666666676,	0.001669402357835359,	4.452585710690293E-5,	0.02554364885959809
0.3334166666666667,	0.35419583333333343,	0.001108286840623307,	2.0833298309597126E-5,	0.021634963930058926
0.3334166666666667,	0.3750250000000001,	8.743171717489062E-4,	1.2613616478196477E-5,	0.020326541965542233
0.3334166666666667,	0.3958541666666668,	8.145986821293527E-4,	9.810004031662878E-6,	0.021072547266790753
0.3334166666666667,	0.41668333333333346,	8.89916475791841E-4,	9.627545741297538E-6,	0.024074414893802853
0.3334166666666667,	0.43751250000000014,	0.0011347476894352226,	1.1671634966514688E-5,	0.030414555751137606
0.3334166666666667,	0.4583416666666668,	0.0016797706590446215,	1.7071524634315605E-5,	0.042568728331154715
0.3334166666666667,	0.4791708333333335,	0.0028431202772561392,	2.927718907680399E-5,	0.06525034920093131
0.3334166666666667,	0.5000000000000001,	0.005321122980050552,	5.674864808591362E-5,	0.10588729577864298
0.41674583333333337,	1.0E-4,	0.04876869139682005,	0.007175030866000576,	0.193397609328413
0.41674583333333337,	0.020929166666666665,	0.08886579597343786,	0.02253650135597246,	0.24460298067652342
0.41674583333333337,	0.04175833333333333,	0.1579956734375032,	0.05998476367803013,	0.32615418786386874
0.41674583333333337,	0.06258749999999999,	0.25312317768709236,	0.12552458058314986,	0.4279550625889491
0.41674583333333337,	0.08341666666666665,	0.3550234889619964,	0.20758094418260487,	0.5284035989462317
0.41674583333333337,	0.10424583333333332,	0.43910042114578823,	0.28255518125781476,	0.6059454380651506
0.41674583333333337,	0.125075,	0.48867562063504677,	0.32968953956146496,	0.6495074244612478
0.41674583333333337,	0.14590416666666667,	0.4973233499152036,	0.3380752544277883,	0.6570050389943365
0.41674583333333337,	0.16673333333333334,	0.46484860874187484,	0.3062970875372568,	0.629270678694609
0.41674583333333337,	0.18756250000000002,	0.39580935203868006,	0.2420435420861981,	0.5680161736748693
0.41674583333333337,	0.2083916666666667,	0.30204402722892176,	0.16267860293416964,	0.4786457237331497
0.41674583333333337,	0.22922083333333337,	0.2033781231476901,	0.09062039861478777,	0.37361782730747817
0.41674583333333337,	0.25005000000000005,	0.12042486392943424,	0.0413962093135497,	0.27059237023367333
0.41674583333333337,	0.2708791666666667,	0.06383191155604429,	0.015801237590709893,	0.1847645423549681
0.41674583333333337,	0.2917083333333334,	0.03153674684842778,	0.005313872399775044,	0.12248782030970123
0.41674583333333337,	0.3125375000000001,	0.015351619339487643,	0.0017035483020582665,	0.08175035395899094
0.41674583333333337,	0.33336666666666676,	0.007803460285454866,	5.681339084420145E-4,	0.05687648616295632
0.41674583333333337,	0.35419583333333343,	0.00435307753483738,	2.1310304122690304E-4,	0.04240243529063398
0.41674583333333337,	0.3750250000000001,	0.0027630167751535595,	9.525049744679714E-5,	0.034530653748992446
0.41674583333333337,	0.3958541666666668,	0.0020433604847609477,	5.2562119682686426E-5,	0.031137790522499598
0.41674583333333337,	0.41668333333333346,	0.0017879483508939087,	3.642169026213393E-5,	0.03145198558935325
0.41674583333333337,	0.43751250000000014,	0.0018691386452174275,	3.180364648203149E-5,	0.035940503907555155
0.41674583333333337,	0.4583416666666668,	0.0023394348298682033,	3.475533999297564E-5,	0.04660092301458474
0.41674583333333337,	0.4791708333333335,	0.0034627325875136727,	4.669304391186069E-5,	0.06763339873612961
0.41674583333333337,	0.5000000000000001,	0.005862584102124591,	7.475697677311599E-5,	0.10587942152559116
0.500075,	1.0E-4,	0.023033584961342113,	0.0020367327804319824,	0.13196748416897208
0.500075,	0.020929166666666665,	0.04280845524381638,	0.006933695344099933,	0.16421233074796832
0.500075,	0.04175833333333333,	0.08398715767760317,	0.022444884096844864,	0.22608624955279227
0.500075,	0.06258749999999999,	0.15570809398749608,	0.060340238554918046,	0.31825424989715123
0.500075,	0.08341666666666665,	0.25529581576396104,	0.1277132552159066,	0.42913922067718424
0.500075,	0.10424583333333332,	0.36366322465014844,	0.21491849768925986,	0.536691631811868
0.500075,	0.125075,	0.4563090614768283,	0.298920077912856,	0.6209723170008056
0.500075,	0.14590416666666667,	0.5167934516475052,	0.3581034111909987,	0.6728323486501244
0.500075,	0.16673333333333334,	0.5391608443662206,	0.3807446753675025,	0.6915206554791413
0.500075,	0.18756250000000002,	0.5232135742344579,	0.3641551899934634,	0.6786099705760338
0.500075,	0.2083916666666667,	0.47136065794297927,	0.3123332847766376,	0.6351585840416528
0.500075,	0.22922083333333337,	0.38985455939183156,	0.2362952434529666,	0.5631160460754299
0.500075,	0.25005000000000005,	0.2916193451462381,	0.1540730062171783,	0.4688343418418822
0.500075,	0.2708791666666667,	0.19513314540903798,	0.08493847729583781,	0.36479543975069406
0.500075,	0.2917083333333334,	0.1169739986343078,	0.03948417646906788,	0.2663803848138222
0.500075,	0.3125375000000001,	0.06405401009744266,	0.01583836655061671,	0.18546191234489873
0.500075,	0.33336666666666676,	0.03326367703926525,	0.005764599322970743,	0.12642142911134813
0.500075,	0.35419583333333343,	0.017222876748601623,	0.0020415476463930826,	0.08723826829113951
0.500075,	0.3750250000000001,	0.009391365157220777,	7.599143902928263E-4,	0.06316197216605779
0.500075,	0.3958541666666668,	0.005682897902764994,	3.1949904542288854E-4,	0.049676794979212735
0.500075,	0.41668333333333346,	0.003993037096465368,	1.6090939029239637E-4,	0.04379558714745507
0.500075,	0.43751250000000014,	0.0033738091052040176,	1.0120538415314684E-4,	0.044367247720158265
0.500075,	0.4583416666666668,	0.0034974928192996746,	8.136704986749788E-5,	0.05225413590758793
0.500075,	0.4791708333333335,	0.004441291036437367,	8.38966551224285E-5,	0.07078884017206172
0.500075,	0.5000000000000001,	0.006709599562926549,	1.0882089581470966E-4,	0.10614644925033656
0.5834041666666667,	1.0E-4,	0.008943852309407085,	4.033729312828416E-4,	0.08296524208782557
0.5834041666666667,	0.020929166666666665,	0.015470747688653197,	0.0013120154658119443,	0.0956081953908014
0.5834041666666667,	0.04175833333333333,	0.031571983701641715,	0.004826891260083455,	0.12958333162081853
0.5834041666666667,	0.06258749999999999,	0.06708529938679136,	0.01681536739741024,	0.1918112872097122
0.5834041666666667,	0.08341666666666665,	0.1331331604273363,	0.04882261356562467,	0.28534840351613233
0.5834041666666667,	0.10424583333333332,	0.23137689826913344,	0.11155122016538349,	0.4011699797563924
0.5834041666666667,	0.125075,	0.3459871468400614,	0.20087142260886037,	0.5184079237545429
0.5834041666666667,	0.14590416666666667,	0.45158101917065885,	0.29528984052554674,	0.6158733384178052
0.5834041666666667,	0.16673333333333334,	0.5285787472472016,	0.37045943915981483,	0.6822614949422229
0.5834041666666667,	0.18756250000000002,	0.5688635155852785,	0.4115245367793497,	0.7158605376106337
0.5834041666666667,	0.2083916666666667,	0.5714513300837423,	0.413563389567994,	0.718546401624796
0.5834041666666667,	0.22922083333333337,	0.5374946091392103,	0.37767972051911913,	0.6914019283118298
0.5834041666666667,	0.25005000000000005,	0.4696581875428167,	0.3100346553066473,	0.6343865294271092
0.5834041666666667,	0.2708791666666667,	0.37537442810025046,	0.22377005289763047,	0.5494287602266477
0.5834041666666667,	0.2917083333333334,	0.2697908343616856,	0.13841757400502053,	0.4445532073829273
0.5834041666666667,	0.3125375000000001,	0.17269123695732275,	0.0721207019277893,	0.3346932706832415
0.5834041666666667,	0.33336666666666676,	0.09912878473746528,	0.03177831479495241,	0.23644462251052661
0.5834041666666667,	0.35419583333333343,	0.052540267917285166,	0.01225075281017346,	0.16054003475526085
0.5834041666666667,	0.3750250000000001,	0.027050654572253974,	0.004403597040991469,	0.10886250169307438
0.5834041666666667,	0.3958541666666668,	0.014442113005903756,	0.001604616693334615,	0.07734280863363235
0.5834041666666667,	0.41668333333333346,	0.00857174189031984,	6.476725243020343E-4,	0.060544025335849405
0.5834041666666667,	0.43751250000000014,	0.006022194931150082,	3.1350190361195684E-4,	0.05457490293978612
0.5834041666666667,	0.4583416666666668,	0.005239065817310429,	1.9313910688323332E-4,	0.058208700616639186
0.5834041666666667,	0.4791708333333335,	0.005738469786372713,	1.5640209467016053E-4,	0.07336146944074384
0.5834041666666667,	0.5000000000000001,	0.007761667769824676,	1.663862124948734E-4,	0.10537357666191693
0.6667333333333334,	1.0E-4,	0.0034815603509265047,	7.559940092488615E-5,	0.05390514855022144
0.6667333333333334,	0.020929166666666665,	0.005035466564934921,	1.992665735562893E-4,	0.0541682466072953
0.6667333333333334,	0.04175833333333333,	0.009563944552571257,	7.120635999440239E-4,	0.06728222808154444
0.6667333333333334,	0.06258749999999999,	0.02149362790317061,	0.0029090202094140816,	0.09855942478896568
0.6667333333333334,	0.08341666666666665,	0.05022979089127799,	0.011378506856112802,	0.15678248125692484
0.6667333333333334,	0.10424583333333332,	0.1090092629036456,	0.037172906398442784,	0.24852175023778733
0.6667333333333334,	0.125075,	0.20475498002062797,	0.09442162937760318,	0.368622520025506
0.6667333333333334,	0.14590416666666667,	0.3254968076029675,	0.1848683905766078,	0.49688907011445405
0.6667333333333334,	0.16673333333333334,	0.44397360252491824,	0.28860170590291173,	0.6085991936014937
0.6667333333333334,	0.18756250000000002,	0.5356791692472642,	0.3775503155262897,	0.6882969807577815
0.6667333333333334,	0.2083916666666667,	0.5892388463718872,	0.43268186318031443,	0.7326098087640859
0.6667333333333334,	0.22922083333333337,	0.6028269901618872,	0.4468066037418224,	0.7437906476814619
0.6667333333333334,	0.25005000000000005,	0.57730348681344,	0.41957998597626095,	0.7233986794454822
0.6667333333333334,	0.2708791666666667,	0.5140408204602611,	0.3552096623728074,	0.6706460328326183
0.6667333333333334,	0.2917083333333334,	0.41837413727138245,	0.26493261341986374,	0.5855461110821579
0.6667333333333334,	0.3125375000000001,	0.30478783876499643,	0.16895524034034232,	0.4748607738931935
0.6667333333333334,	0.33336666666666676,	0.19595144723364843,	0.08996948909936026,	0.3551697514115995
0.6667333333333334,	0.35419583333333343,	0.11176318819351383,	0.03997502657569957,	0.24716655037610885
0.6667333333333334,	0.3750250000000001,	0.05847337309638467,	0.015352110050337708,	0.16489107459099456
0.6667333333333334,	0.3958541666666668,	0.029840397245142536,	0.00547895135553178,	0.11080646142895206
0.6667333333333334,	0.41668333333333346,	0.016088680230700758,	0.002002831939728056,	0.07976034684921574
0.6667333333333334,	0.43751250000000014,	0.009955661333772958,	8.308008609869688E-4,	0.06537402644163542
0.6667333333333334,	0.4583416666666668,	0.007571676327166488,	4.271953960309216E-4,	0.06383933877837289
0.6667333333333334,	0.4791708333333335,	0.00734939767032422,	2.8902514274470326E-4,	0.07525630912109099
0.6667333333333334,	0.5000000000000001,	0.009057338295815565,	2.626839127664038E-4,	0.10400541926202178
0.7500625000000001,	1.0E-4,	0.0016860221795582664,	1.9021914571260012E-5,	0.040563808008081015
0.7500625000000001,	0.020929166666666665,	0.0019065455841720813,	3.604547684921133E-5,	0.03459547166260807
